layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
0,Conv2d,"[1, 3, 224, 224]","[1, 64, 112, 112]",802816,236027904,"[3, 784.0]"
1,BatchNorm2d,"[1, 64, 112, 112]","[1, 64, 112, 112]",802816,0,[np.int64(802816)]
2,ReLU,"[1, 64, 112, 112]","[1, 64, 112, 112]",802816,0,[np.int64(802816)]
3,MaxPool2d,"[1, 64, 112, 112]","[1, 64, 56, 56]",200704,0,"[np.int64(802816), np.int64(200704)]"
4,Conv2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,25690112,"[64, 64.0]"
5,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
6,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
7,Conv2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,231211008,"[64, 576.0]"
8,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
9,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
10,Conv2d,"[1, 64, 56, 56]","[1, 256, 56, 56]",802816,102760448,"[64, 256.0]"
11,BatchNorm2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
12,Conv2d,"[1, 64, 56, 56]","[1, 256, 56, 56]",802816,102760448,"[64, 256.0]"
13,BatchNorm2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
14,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
15,Conv2d,"[1, 256, 56, 56]","[1, 64, 56, 56]",200704,102760448,"[256, 64.0]"
16,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
17,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
18,Conv2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,231211008,"[64, 576.0]"
19,BatchNorm2d,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
20,ReLU,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,0,[np.int64(200704)]
21,Conv2d,"[1, 64, 56, 56]","[1, 256, 56, 56]",802816,102760448,"[64, 256.0]"
22,BatchNorm2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
23,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
24,Conv2d,"[1, 256, 56, 56]","[1, 64, 56, 56]",200704,102760448,"[256, 64.0]"
