layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
0,Conv2d,"[1, 3, 224, 224]","[1, 64, 224, 224]",3211264,173408256,"[3, 576.0]"
1,ReLU,"[1, 64, 224, 224]","[1, 64, 224, 224]",3211264,0,[np.int64(3211264)]
2,Conv2d,"[1, 64, 224, 224]","[1, 64, 224, 224]",3211264,3699376128,"[64, 576.0]"
3,ReLU,"[1, 64, 224, 224]","[1, 64, 224, 224]",3211264,0,[np.int64(3211264)]
4,MaxPool2d,"[1, 64, 224, 224]","[1, 64, 112, 112]",802816,0,"[np.int64(3211264), np.int64(802816)]"
5,Conv2d,"[1, 64, 112, 112]","[1, 128, 112, 112]",1605632,1849688064,"[64, 1152.0]"
6,ReLU,"[1, 128, 112, 112]","[1, 128, 112, 112]",1605632,0,[np.int64(1605632)]
7,Conv2d,"[1, 128, 112, 112]","[1, 128, 112, 112]",1605632,3699376128,"[128, 1152.0]"
8,ReLU,"[1, 128, 112, 112]","[1, 128, 112, 112]",1605632,0,[np.int64(1605632)]
9,MaxPool2d,"[1, 128, 112, 112]","[1, 128, 56, 56]",401408,0,"[np.int64(1605632), np.int64(401408)]"
10,Conv2d,"[1, 128, 56, 56]","[1, 256, 56, 56]",802816,1849688064,"[128, 2304.0]"
11,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
12,Conv2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,3699376128,"[256, 2304.0]"
13,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
14,Conv2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,3699376128,"[256, 2304.0]"
15,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
16,Conv2d,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,3699376128,"[256, 2304.0]"
17,ReLU,"[1, 256, 56, 56]","[1, 256, 56, 56]",802816,0,[np.int64(802816)]
18,MaxPool2d,"[1, 256, 56, 56]","[1, 256, 28, 28]",200704,0,"[np.int64(802816), np.int64(200704)]"
19,Conv2d,"[1, 256, 28, 28]","[1, 512, 28, 28]",401408,1849688064,"[256, 4608.0]"
20,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
21,Conv2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,3699376128,"[512, 4608.0]"
22,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
23,Conv2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,3699376128,"[512, 4608.0]"
24,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
25,Conv2d,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,3699376128,"[512, 4608.0]"
26,ReLU,"[1, 512, 28, 28]","[1, 512, 28, 28]",401408,0,[np.int64(401408)]
27,MaxPool2d,"[1, 512, 28, 28]","[1, 512, 14, 14]",100352,0,"[np.int64(401408), np.int64(100352)]"
28,Conv2d,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,924844032,"[512, 4608.0]"
29,ReLU,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,[np.int64(100352)]
30,Conv2d,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,924844032,"[512, 4608.0]"
31,ReLU,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,[np.int64(100352)]
32,Conv2d,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,924844032,"[512, 4608.0]"
33,ReLU,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,[np.int64(100352)]
34,Conv2d,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,924844032,"[512, 4608.0]"
35,ReLU,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,0,[np.int64(100352)]
36,MaxPool2d,"[1, 512, 14, 14]","[1, 512, 7, 7]",25088,0,"[np.int64(100352), np.int64(25088)]"
37,AdaptiveAvgPool2d,"[1, 512, 7, 7]","[1, 512, 7, 7]",25088,0,"[np.int64(25088), np.int64(25088)]"
38,Linear,"[1, 25088]","[1, 4096]",4096,205520896,"[25088, 4096]"
39,ReLU,"[1, 4096]","[1, 4096]",4096,0,[np.int64(4096)]
40,Linear,"[1, 4096]","[1, 4096]",4096,33554432,"[4096, 4096]"
41,ReLU,"[1, 4096]","[1, 4096]",4096,0,[np.int64(4096)]
42,Linear,"[1, 4096]","[1, 1000]",1000,8192000,"[4096, 1000]"
